title,platform,genre
'Splosion Man,Xbox 360,Action
'Splosion Man,Xbox 360,General
'Splosion Man,Xbox 360,Platformer
'Splosion Man,Xbox 360,2D
.hack//G.U. Last Recode,PlayStation 4,Miscellaneous
.hack//G.U. Last Recode,PlayStation 4,Compilation
.hack//G.U. vol. 1//Rebirth,PlayStation 2,Role-Playing
.hack//G.U. vol. 1//Rebirth,PlayStation 2,Action RPG
.hack//G.U. vol. 2//Reminisce,PlayStation 2,Role-Playing
.hack//G.U. vol. 2//Reminisce,PlayStation 2,Action RPG
.hack//G.U. vol. 3//Redemption,PlayStation 2,Role-Playing
.hack//G.U. vol. 3//Redemption,PlayStation 2,Action RPG
.hack//Infection Part 1,PlayStation 2,Role-Playing
.hack//Infection Part 1,PlayStation 2,Action RPG
.hack//Mutation Part 2,PlayStation 2,Role-Playing
.hack//Mutation Part 2,PlayStation 2,Action RPG
.hack//Outbreak Part 3,PlayStation 2,Role-Playing
.hack//Outbreak Part 3,PlayStation 2,Action RPG
.hack//Quarantine Part 4,PlayStation 2,Role-Playing
.hack//Quarantine Part 4,PlayStation 2,Action RPG
1080: Avalanche,GameCube,Sports
1080: Avalanche,GameCube,Alternative
1080: Avalanche,GameCube,Snowboarding
11-11: Memories Retold,PlayStation 4,Adventure
11-11: Memories Retold,PlayStation 4,General
1701 A.D.,PC,Strategy
1701 A.D.,PC,Real-Time
1701 A.D.,PC,Historic
1701 A.D.,PC,General
2010 FIFA World Cup South Africa,Xbox 360,Sports
2010 FIFA World Cup South Africa,Xbox 360,Traditional
2010 FIFA World Cup South Africa,Xbox 360,Team
2010 FIFA World Cup South Africa,Xbox 360,Soccer
2010 FIFA World Cup South Africa,Xbox 360,Sim
2010 FIFA World Cup South Africa,PlayStation 3,Sports
2010 FIFA World Cup South Africa,PlayStation 3,Traditional
2010 FIFA World Cup South Africa,PlayStation 3,Team
2010 FIFA World Cup South Africa,PlayStation 3,Soccer
2010 FIFA World Cup South Africa,PlayStation 3,Sim
20XX,Switch,Action
20XX,Switch,Platformer
20XX,Switch,2D
24: The Game,PlayStation 2,Action Adventure
24: The Game,PlayStation 2,Modern
2Dark,Xbox One,Action Adventure
2Dark,Xbox One,General
3D After Burner II,3DS,Action
3D After Burner II,3DS,Shooter
3D After Burner II,3DS,Scrolling
3D After Burner II,3DS,Shoot-'Em-Up
3D After Burner II,3DS,Vertical
3D Classics: Kirby's Adventure,3DS,Action
3D Classics: Kirby's Adventure,3DS,Platformer
3D Classics: Kirby's Adventure,3DS,2D
3D Dot Game Heroes,PlayStation 3,Role-Playing
3D Dot Game Heroes,PlayStation 3,Action RPG
3D Gunstar Heroes,3DS,Action
3D Gunstar Heroes,3DS,Shooter
3D Gunstar Heroes,3DS,Shoot-'Em-Up
3D Gunstar Heroes,3DS,Horizontal
3D Out Run,3DS,Driving
3D Out Run,3DS,Racing
3D Out Run,3DS,Arcade
3D Out Run,3DS,Automobile
3D Sonic the Hedgehog 2,3DS,Action
3D Sonic the Hedgehog 2,3DS,Platformer
3D Sonic the Hedgehog 2,3DS,2D
4x4 EVO 2,GameCube,Driving
4x4 EVO 2,GameCube,Racing
4x4 EVO 2,GameCube,Rally / Offroad
7 Wonders of the Ancient World,DS,Miscellaneous
7 Wonders of the Ancient World,DS,Puzzle
7 Wonders of the Ancient World,DS,General
7th Dragon III Code: VFD,3DS,General
7th Dragon III Code: VFD,3DS,Role-Playing
7th Dragon III Code: VFD,3DS,Japanese-Style
A Boy and His Blob,Wii,Action
A Boy and His Blob,Wii,Miscellaneous
A Boy and His Blob,Wii,Platformer
A Boy and His Blob,Wii,Puzzle
A Boy and His Blob,Wii,2D
A Boy and His Blob,Wii,General
A Hat in Time,PC,Action
A Hat in Time,PC,Platformer
A Hat in Time,PC,3D
A Hat in Time,Xbox One,Action
A Hat in Time,Xbox One,Platformer
A Hat in Time,Xbox One,3D
A Hat in Time,PlayStation 4,Action
A Hat in Time,PlayStation 4,Platformer
A Hat in Time,PlayStation 4,3D
A Plague Tale: Innocence,PC,Action Adventure
A Plague Tale: Innocence,PC,General
A Plague Tale: Innocence,PlayStation 4,Action Adventure
A Plague Tale: Innocence,PlayStation 4,General
A Plague Tale: Innocence,Xbox One,Action Adventure
A Plague Tale: Innocence,Xbox One,General
A Rose in the Twilight,PlayStation Vita,Action
A Rose in the Twilight,PlayStation Vita,Platformer
A Rose in the Twilight,PlayStation Vita,2D
A Way Out,PlayStation 4,Action Adventure
A Way Out,PlayStation 4,General
ABZU,Switch,Adventure
ABZU,Switch,3D
ABZU,Switch,Third-Person
AI War: Fleet Command,PC,Strategy
AI War: Fleet Command,PC,Real-Time
AI War: Fleet Command,PC,Sci-Fi
AI War: Fleet Command,PC,General
AO International Tennis,Xbox One,Sports
AO International Tennis,Xbox One,Individual
AO International Tennis,Xbox One,Tennis
AR-K Episode 3: The Great Escape,PC,Adventure
AR-K Episode 3: The Great Escape,PC,General
ATOM RPG: Post-apocalyptic indie game,PC,Role-Playing
ATOM RPG: Post-apocalyptic indie game,PC,Western-Style
ATOMIK: RunGunJumpGun,Switch,Action
ATOMIK: RunGunJumpGun,Switch,Platformer
ATOMIK: RunGunJumpGun,Switch,Shooter
ATOMIK: RunGunJumpGun,Switch,2D
ATOMIK: RunGunJumpGun,Switch,Shoot-'Em-Up
ATOMIK: RunGunJumpGun,Switch,Horizontal
ATV Offroad Fury,PlayStation 2,Driving
ATV Offroad Fury,PlayStation 2,Racing
ATV Offroad Fury,PlayStation 2,Rally / Offroad
ATV Offroad Fury 2,PlayStation 2,Driving
ATV Offroad Fury 2,PlayStation 2,Racing
ATV Offroad Fury 2,PlayStation 2,Rally / Offroad
ATV Offroad Fury 3,PlayStation 2,Driving
ATV Offroad Fury 3,PlayStation 2,Racing
ATV Offroad Fury 3,PlayStation 2,Rally / Offroad
ATV Offroad Fury 4,PlayStation 2,Driving
ATV Offroad Fury 4,PlayStation 2,Racing
ATV Offroad Fury 4,PlayStation 2,Rally / Offroad
ATV Offroad Fury: Blazin' Trails,PSP,Driving
ATV Offroad Fury: Blazin' Trails,PSP,Racing
ATV Offroad Fury: Blazin' Trails,PSP,Simulation
ATV Offroad Fury: Blazin' Trails,PSP,Rally / Offroad
ATV Offroad Fury: Blazin' Trails,PSP,Automobile
ATV Quad Power Racing 2,GameCube,Driving
ATV Quad Power Racing 2,GameCube,Racing
ATV Quad Power Racing 2,GameCube,Rally / Offroad
ATV: Quad Power Racing,Game Boy Advance,Driving
ATV: Quad Power Racing,Game Boy Advance,Racing
ATV: Quad Power Racing,Game Boy Advance,Rally / Offroad
Aaero: Complete Edition,Switch,Action
Aaero: Complete Edition,Switch,Shooter
Aaero: Complete Edition,Switch,Rail
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure
Ace Attorney Investigations: Miles Edgeworth,DS,General
Ace Attorney Investigations: Miles Edgeworth,DS,Visual Novel
Ace Combat 04: Shattered Skies,PlayStation 2,Simulation
Ace Combat 04: Shattered Skies,PlayStation 2,Flight
Ace Combat 04: Shattered Skies,PlayStation 2,Modern Jet
Ace Combat 2,PlayStation,Simulation
Ace Combat 2,PlayStation,Flight
Ace Combat 2,PlayStation,Modern Jet
Ace Combat 5: The Unsung War,PlayStation 2,Simulation
Ace Combat 5: The Unsung War,PlayStation 2,Flight
Ace Combat 5: The Unsung War,PlayStation 2,Modern Jet
Ace Combat 6: Fires of Liberation,Xbox 360,Action
Ace Combat 6: Fires of Liberation,Xbox 360,Simulation
Ace Combat 6: Fires of Liberation,Xbox 360,Flight
Ace Combat 6: Fires of Liberation,Xbox 360,Combat
Ace Combat 7: Skies Unknown,PlayStation 4,Simulation
Ace Combat 7: Skies Unknown,PlayStation 4,Flight
Ace Combat 7: Skies Unknown,PlayStation 4,Combat
Ace Combat 7: Skies Unknown,Xbox One,Simulation
Ace Combat 7: Skies Unknown,Xbox One,Flight
Ace Combat 7: Skies Unknown,Xbox One,Combat
Ace Combat X: Skies of Deception,PSP,Simulation
Ace Combat X: Skies of Deception,PSP,Flight
Ace Combat X: Skies of Deception,PSP,Modern Jet
Ace Combat X: Skies of Deception,PSP,Combat
Ace Combat Zero: The Belkan War,PlayStation 2,Simulation
Ace Combat Zero: The Belkan War,PlayStation 2,Flight
Ace Combat Zero: The Belkan War,PlayStation 2,Modern Jet
Ace Combat: Assault Horizon Legacy,3DS,Action
Ace Combat: Assault Horizon Legacy,3DS,Simulation
Ace Combat: Assault Horizon Legacy,3DS,General
Ace Combat: Assault Horizon Legacy,3DS,Flight
Ace Combat: Assault Horizon Legacy,3DS,Combat
Act of War: Direct Action,PC,Strategy
Act of War: Direct Action,PC,Real-Time
Act of War: Direct Action,PC,Military
Act of War: Direct Action,PC,General
Activision Anthology,PlayStation 2,Miscellaneous
Activision Anthology,PlayStation 2,Compilation
Advance Wars,Game Boy Advance,Strategy
Advance Wars,Game Boy Advance,Turn-Based
Advance Wars,Game Boy Advance,Modern
Advance Wars 2: Black Hole Rising,Game Boy Advance,Strategy
Advance Wars 2: Black Hole Rising,Game Boy Advance,Turn-Based
Advance Wars 2: Black Hole Rising,Game Boy Advance,Sci-Fi
Advance Wars: Days of Ruin,DS,Strategy
Advance Wars: Days of Ruin,DS,Turn-Based
Advance Wars: Days of Ruin,DS,Modern
Advance Wars: Days of Ruin,DS,Tactics
Advance Wars: Dual Strike,DS,Strategy
Advance Wars: Dual Strike,DS,Turn-Based
Advance Wars: Dual Strike,DS,Modern
Advance Wars: Dual Strike,DS,Tactics
Advent Rising,PC,Action Adventure
Advent Rising,PC,Sci-Fi
Advent Rising,PC,General
Adventures of Mana,PlayStation Vita,Role-Playing
Adventures of Mana,PlayStation Vita,Action RPG
Aero the Acro-bat,Game Boy Advance,Action
Aero the Acro-bat,Game Boy Advance,Platformer
Aero the Acro-bat,Game Boy Advance,2D
Affordable Space Adventures,Wii U,Scrolling
Affordable Space Adventures,Wii U,Action
Affordable Space Adventures,Wii U,Shooter
Affordable Space Adventures,Wii U,Shoot-'Em-Up
Affordable Space Adventures,Wii U,Vertical
Agatha Christie: The ABC Murders,PC,Adventure
Agatha Christie: The ABC Murders,PC,General
Agatha Christie: The ABC Murders,PC,Point-and-Click
Age of Empires,PC,Strategy
Age of Empires,PC,Real-Time
Age of Empires,PC,Historic
Age of Empires,PC,Command
Age of Empires II: HD Edition,PC,Strategy
Age of Empires II: HD Edition,PC,Miscellaneous
Age of Empires II: HD Edition,PC,Real-Time
Age of Empires II: HD Edition,PC,Compilation
Age of Empires II: HD Edition,PC,Historic
Age of Empires II: HD Edition,PC,Command
Age of Empires II: The Age of Kings,PC,Strategy
Age of Empires II: The Age of Kings,PC,Real-Time
Age of Empires II: The Age of Kings,PC,Historic
Age of Empires II: The Age of Kings,PC,Command
Age of Empires II: The Conquerors Expansion,PC,Strategy
Age of Empires II: The Conquerors Expansion,PC,Real-Time
Age of Empires II: The Conquerors Expansion,PC,Historic
Age of Empires II: The Conquerors Expansion,PC,Command
Age of Empires III,PC,Strategy
Age of Empires III,PC,Real-Time
Age of Empires III,PC,Historic
Age of Empires III,PC,Command
Age of Empires III: The Asian Dynasties,PC,Strategy
Age of Empires III: The Asian Dynasties,PC,Real-Time
Age of Empires III: The Asian Dynasties,PC,Historic
Age of Empires III: The Asian Dynasties,PC,Command
Age of Empires III: The WarChiefs,PC,Strategy
Age of Empires III: The WarChiefs,PC,Real-Time
Age of Empires III: The WarChiefs,PC,Historic
Age of Empires III: The WarChiefs,PC,Command
Age of Empires: The Age of Kings,DS,Strategy
Age of Empires: The Age of Kings,DS,Turn-Based
Age of Empires: The Age of Kings,DS,Historic
Age of Empires: The Age of Kings,DS,General
Age of Mythology,PC,Strategy
Age of Mythology,PC,Real-Time
Age of Mythology,PC,Fantasy
Age of Mythology,PC,General
Age of Mythology: The Titans,PC,Strategy
Age of Mythology: The Titans,PC,Real-Time
Age of Mythology: The Titans,PC,Fantasy
Age of Mythology: The Titans,PC,General
Age of Wonders II: The Wizard's Throne,PC,Strategy
Age of Wonders II: The Wizard's Throne,PC,Turn-Based
Age of Wonders II: The Wizard's Throne,PC,Fantasy
Age of Wonders II: The Wizard's Throne,PC,General
Age of Wonders III,PC,Strategy
Age of Wonders III,PC,Turn-Based
Age of Wonders III,PC,Fantasy
Age of Wonders III,PC,General
Age of Wonders III - Eternal Lords,PC,Strategy
Age of Wonders III - Eternal Lords,PC,Turn-Based
Age of Wonders III - Eternal Lords,PC,General
Age of Wonders III - Golden Realms,PC,Fantasy
Age of Wonders III - Golden Realms,PC,Strategy
Age of Wonders III - Golden Realms,PC,Turn-Based
Age of Wonders III - Golden Realms,PC,General
Age of Wonders: Shadow Magic,PC,Strategy
Age of Wonders: Shadow Magic,PC,Turn-Based
Age of Wonders: Shadow Magic,PC,Fantasy
Age of Wonders: Shadow Magic,PC,General
Aggressive Inline,PlayStation 2,Sports
Aggressive Inline,PlayStation 2,Alternative
Aggressive Inline,PlayStation 2,Skating
Aggressors: Ancient Rome,PC,Strategy
Aggressors: Ancient Rome,PC,Turn-Based
Aggressors: Ancient Rome,PC,4X
AiRace Xeno,3DS,Driving
AiRace Xeno,3DS,Racing
AiRace Xeno,3DS,Arcade
AiRace Xeno,3DS,Futuristic
Akai Katana,Xbox 360,Action
Akai Katana,Xbox 360,Shooter
Akai Katana,Xbox 360,Scrolling
Akai Katana,Xbox 360,Shoot-'Em-Up
Akai Katana,Xbox 360,Vertical
Akai Katana,Xbox 360,Horizontal
Alan Wake,Xbox 360,Action Adventure
Alan Wake,Xbox 360,Modern
Alan Wake,Xbox 360,Horror
Alan Wake,Xbox 360,Survival
Alan Wake,PC,Action Adventure
Alan Wake,PC,Modern
Alan Wake,PC,Horror
Alan Wake,PC,Survival
Alexander,PC,Strategy
Alexander,PC,Real-Time
Alexander,PC,Historic
Alexander,PC,General
Alice: Madness Returns,PC,Action Adventure
Alice: Madness Returns,PC,Adventure
Alice: Madness Returns,PC,General
Alice: Madness Returns,PC,Horror
Alice: Madness Returns,PC,Survival
Alice: Madness Returns,Xbox 360,Action Adventure
Alice: Madness Returns,Xbox 360,Adventure
Alice: Madness Returns,Xbox 360,General
Alice: Madness Returns,Xbox 360,Horror
Alice: Madness Returns,Xbox 360,Survival
Alice: Madness Returns,PlayStation 3,Action Adventure
Alice: Madness Returns,PlayStation 3,Horror
Alice: Madness Returns,PlayStation 3,Survival
Alien Breed: Evolution,Xbox 360,Action Adventure
Alien Breed: Evolution,Xbox 360,Horror
Alien Breed: Evolution,Xbox 360,Survival
Alien Front Online,Dreamcast,Action
Alien Front Online,Dreamcast,Shooter
Alien Front Online,Dreamcast,Third-Person
Alien Front Online,Dreamcast,Sci-Fi
Alien Hominid,PlayStation 2,Action
Alien Hominid,PlayStation 2,Shooter
Alien Hominid,PlayStation 2,Scrolling
Alien Hominid,GameCube,Action
Alien Hominid,GameCube,Shooter
Alien Hominid,GameCube,Scrolling
Alien Shooter: Vengeance,PC,Action
Alien Shooter: Vengeance,PC,General
Alien Swarm,PC,Action
Alien Swarm,PC,Shooter
Alien Swarm,PC,Third-Person
Alien Swarm,PC,Tactical
Alien Swarm,PC,Modern
Alien: Isolation,PC,Action Adventure
Alien: Isolation,PC,Sci-Fi
Alien: Isolation,PC,General
Alien: Isolation,PC,Survival
Alien: Isolation,PlayStation 4,Action Adventure
Alien: Isolation,PlayStation 4,Sci-Fi
Alien: Isolation,PlayStation 4,General
Alien: Isolation,PlayStation 4,Survival
Alien: Isolation,Xbox One,Action Adventure
Alien: Isolation,Xbox One,Sci-Fi
Alien: Isolation,Xbox One,General
Alien: Isolation,Xbox One,Survival
Alienation,PlayStation 4,Sci-Fi
Alienation,PlayStation 4,Action
Alienation,PlayStation 4,Shooter
Alienation,PlayStation 4,Third-Person
Alienation,PlayStation 4,Arcade
Aliens Versus Predator 2,PC,Action
Aliens Versus Predator 2,PC,Shooter
Aliens Versus Predator 2,PC,First-Person
Aliens Versus Predator 2,PC,Sci-Fi
Aliens Versus Predator 2,PC,Arcade
Aliens Versus Predator: Extinction,PlayStation 2,Strategy
Aliens Versus Predator: Extinction,PlayStation 2,Real-Time
Aliens Versus Predator: Extinction,PlayStation 2,Sci-Fi
Aliens: Infestation,DS,Action
Aliens: Infestation,DS,Platformer
Aliens: Infestation,DS,2D
All-Star Baseball 2003,PlayStation 2,Sports
All-Star Baseball 2003,PlayStation 2,Traditional
All-Star Baseball 2003,PlayStation 2,Baseball
All-Star Baseball 2003,PlayStation 2,Sim
All-Star Baseball 2003,Xbox,Sports
All-Star Baseball 2003,Xbox,Traditional
All-Star Baseball 2003,Xbox,Baseball
All-Star Baseball 2003,Xbox,Sim
All-Star Baseball 2003,GameCube,Sports
All-Star Baseball 2003,GameCube,Traditional
All-Star Baseball 2003,GameCube,Baseball
All-Star Baseball 2003,GameCube,Sim
All-Star Baseball 2004,Xbox,Sports
All-Star Baseball 2004,Xbox,Traditional
All-Star Baseball 2004,Xbox,Baseball
All-Star Baseball 2004,Xbox,Sim
All-Star Baseball 2004,GameCube,Sports
All-Star Baseball 2004,GameCube,Traditional
All-Star Baseball 2004,GameCube,Baseball
All-Star Baseball 2004,GameCube,Sim
All-Star Baseball 2005,Xbox,Sports
All-Star Baseball 2005,Xbox,Traditional
All-Star Baseball 2005,Xbox,Baseball
All-Star Baseball 2005,Xbox,Sim
All-Star Baseball 2005,PlayStation 2,Sports
All-Star Baseball 2005,PlayStation 2,Traditional
All-Star Baseball 2005,PlayStation 2,Baseball
All-Star Baseball 2005,PlayStation 2,Sim
Alone in the Dark: The New Nightmare,PlayStation,Action Adventure
Alone in the Dark: The New Nightmare,PlayStation,Horror
Alone in the Dark: The New Nightmare,Dreamcast,Action Adventure
Alone in the Dark: The New Nightmare,Dreamcast,Horror
Alundra,PlayStation,Role-Playing
Alundra,PlayStation,Action RPG
American McGee's Alice,PC,Action Adventure
American McGee's Alice,PC,Horror
American McGee's Alice,PC,Survival
Amnesia: The Dark Descent,PC,Action Adventure
Amnesia: The Dark Descent,PC,Horror
Amnesia: The Dark Descent,PC,Survival
Amped: Freestyle Snowboarding,Xbox,Sports
Amped: Freestyle Snowboarding,Xbox,Alternative
Amped: Freestyle Snowboarding,Xbox,Snowboarding
Amplitude,PlayStation 2,Miscellaneous
Amplitude,PlayStation 2,Rhythm
Amplitude,PlayStation 2,Music
Anachronox,PC,Role-Playing
Anachronox,PC,Third-Person
Anachronox,PC,General
Anachronox,PC,Japanese-Style
Anarchy Online: Shadowlands,PC,Role-Playing
Anarchy Online: Shadowlands,PC,Massively Multiplayer Online
Anarchy Online: Shadowlands,PC,Massively Multiplayer
Anarchy Online: Shadowlands,PC,Sci-Fi
Anarchy Reigns,PlayStation 3,Action
Anarchy Reigns,PlayStation 3,Beat-'Em-Up
Anarchy Reigns,PlayStation 3,3D
Anarchy Reigns,Xbox 360,Action
Anarchy Reigns,Xbox 360,Beat-'Em-Up
Anarchy Reigns,Xbox 360,3D
Anarcute,PC,Action
Anarcute,PC,General
And 1 Streetball,PlayStation 2,Sports
And 1 Streetball,PlayStation 2,Traditional
And 1 Streetball,PlayStation 2,Basketball
And 1 Streetball,PlayStation 2,Arcade
And 1 Streetball,Xbox,Sports
And 1 Streetball,Xbox,Traditional
And 1 Streetball,Xbox,Basketball
And 1 Streetball,Xbox,Arcade
Anima: Gate of Memories,Xbox One,Role-Playing
Anima: Gate of Memories,Xbox One,Action RPG
Animal Crossing,GameCube,Miscellaneous
Animal Crossing,GameCube,Virtual Life
Animal Crossing: New Leaf,3DS,Simulation
Animal Crossing: New Leaf,3DS,Miscellaneous
Animal Crossing: New Leaf,3DS,Virtual Life
Animal Crossing: New Leaf,3DS,Virtual
Animal Crossing: Wild World,DS,Simulation
Animal Crossing: Wild World,DS,Miscellaneous
Animal Crossing: Wild World,DS,Virtual Life
Animal Crossing: Wild World,DS,Virtual
Anno 1800,PC,Strategy
Anno 1800,PC,Management
Anno 1800,PC,Government
Antichamber,PC,Miscellaneous
Antichamber,PC,Puzzle
Antichamber,PC,General
Ape Escape,PlayStation,Action
Ape Escape,PlayStation,Platformer
Ape Escape,PlayStation,3D
Ape Escape 2,PlayStation 2,Action
Ape Escape 2,PlayStation 2,Platformer
Ape Escape 2,PlayStation 2,3D
Ape Escape 3,PlayStation 2,Action
Ape Escape 3,PlayStation 2,Platformer
Ape Escape 3,PlayStation 2,3D
Apex,Xbox,Driving
Apex,Xbox,Racing
Apex,Xbox,GT / Street
Apollo Justice: Ace Attorney,DS,Adventure
Apollo Justice: Ace Attorney,DS,General
Apollo Justice: Ace Attorney,DS,Visual Novel
Apollo Justice: Ace Attorney,3DS,Adventure
Apollo Justice: Ace Attorney,3DS,Visual Novel
Aqua,Xbox 360,Action
Aqua,Xbox 360,Shooter
Aqua,Xbox 360,Third-Person
Aqua,Xbox 360,Shoot-'Em-Up
Aqua,Xbox 360,Tactical
Aqua,Xbox 360,Top-Down
Aqua,Xbox 360,Modern
AquaPazza: AquaPlus Dream Match,PlayStation 3,Action
AquaPazza: AquaPlus Dream Match,PlayStation 3,Fighting
AquaPazza: AquaPlus Dream Match,PlayStation 3,2D
Aquaria,PC,Action Adventure
Aquaria,PC,Fantasy
Aquaria,PC,General
Ar nosurge Plus: Ode to an Unborn Star,PlayStation Vita,Role-Playing
Ar nosurge Plus: Ode to an Unborn Star,PlayStation Vita,Japanese-Style
Ar nosurge: Ode to an Unborn Star,PlayStation 3,Role-Playing
Ar nosurge: Ode to an Unborn Star,PlayStation 3,General
Ar nosurge: Ode to an Unborn Star,PlayStation 3,Japanese-Style
Ar tonelico II: Melody of Metafalica,PlayStation 2,Role-Playing
Ar tonelico II: Melody of Metafalica,PlayStation 2,Console-style RPG
Ar tonelico: Melody of Elemia,PlayStation 2,Role-Playing
Ar tonelico: Melody of Elemia,PlayStation 2,Console-style RPG
Arc Rise Fantasia,Wii,Role-Playing
Arc Rise Fantasia,Wii,Console-style RPG
Arc Rise Fantasia,Wii,Japanese-Style
Arc the Lad Collection,PlayStation,Miscellaneous
Arc the Lad Collection,PlayStation,Compilation
Arc the Lad: Twilight of the Spirits,PlayStation 2,Role-Playing
Arc the Lad: Twilight of the Spirits,PlayStation 2,Console-style RPG
Arcana Heart,PlayStation 2,Action
Arcana Heart,PlayStation 2,Fighting
Arcana Heart,PlayStation 2,2D
Arcanum: Of Steamworks and Magick Obscura,PC,Role-Playing
Arcanum: Of Steamworks and Magick Obscura,PC,PC-style RPG
Arcanum: Of Steamworks and Magick Obscura,PC,Western-Style
Archangel: Hellfire,PC,Simulation
Archangel: Hellfire,PC,Vehicle
Archangel: Hellfire,PC,Combat
Area 51,PlayStation 2,Action
Area 51,PlayStation 2,Shooter
Area 51,PlayStation 2,First-Person
Area 51,PlayStation 2,Sci-Fi
Arena Football,Xbox,Sports
Arena Football,Xbox,Traditional
Arena Football,Xbox,Football
Arena Football,Xbox,Arcade
Arena Football,PlayStation 2,Sports
Arena Football,PlayStation 2,Traditional
Arena Football,PlayStation 2,Football
Arena Football,PlayStation 2,Sim
Arktika.1,PC,Action
Arktika.1,PC,Shooter
Arktika.1,PC,First-Person
Arktika.1,PC,Tactical
ArmA II: Operation Arrowhead,PC,Action
ArmA II: Operation Arrowhead,PC,Shooter
ArmA II: Operation Arrowhead,PC,First-Person
ArmA II: Operation Arrowhead,PC,Modern
ArmA II: Operation Arrowhead,PC,Arcade
Armillo,Wii U,Action
Armillo,Wii U,Platformer
Armillo,Wii U,3D
Armored Core 2,PlayStation 2,Simulation
Armored Core 2,PlayStation 2,Sci-Fi
Armored Core 2,PlayStation 2,Mech
Armored Core 2: Another Age,PlayStation 2,Simulation
Armored Core 2: Another Age,PlayStation 2,Sci-Fi
Armored Core 2: Another Age,PlayStation 2,Mech
Armored Core 3,PlayStation 2,Simulation
Armored Core 3,PlayStation 2,Sci-Fi
Armored Core 3,PlayStation 2,Mech
Armored Core: For Answer,Xbox 360,Simulation
Armored Core: For Answer,Xbox 360,Sci-Fi
Armored Core: For Answer,Xbox 360,Vehicle
Armored Core: For Answer,Xbox 360,Mech
Armored Core: For Answer,Xbox 360,Combat
Armored Core: For Answer,PlayStation 3,Simulation
Armored Core: For Answer,PlayStation 3,Sci-Fi
Armored Core: For Answer,PlayStation 3,Vehicle
Armored Core: For Answer,PlayStation 3,Mech
Armored Core: For Answer,PlayStation 3,Combat
Armored Core: Last Raven,PlayStation 2,Simulation
Armored Core: Last Raven,PlayStation 2,Sci-Fi
Armored Core: Last Raven,PlayStation 2,Mech
Armored Core: Nexus,PlayStation 2,Simulation
Armored Core: Nexus,PlayStation 2,Sci-Fi
Armored Core: Nexus,PlayStation 2,Mech
Armored Core: Nine Breaker,PlayStation 2,Simulation
Armored Core: Nine Breaker,PlayStation 2,Sci-Fi
Armored Core: Nine Breaker,PlayStation 2,Mech
Armored Core: Verdict Day,Xbox 360,Simulation
Armored Core: Verdict Day,Xbox 360,Sci-Fi
Armored Core: Verdict Day,Xbox 360,Vehicle
Armored Core: Verdict Day,Xbox 360,Mech
Armored Core: Verdict Day,Xbox 360,Combat
Army Men Advance,Game Boy Advance,Action
Army Men Advance,Game Boy Advance,Shooter
Army Men Advance,Game Boy Advance,Third-Person
Army Men Advance,Game Boy Advance,Fantasy
Army Men: Air Attack 2,PlayStation 2,Action
Army Men: Air Attack 2,PlayStation 2,Shooter
Army Men: Air Attack 2,PlayStation 2,Third-Person
Army Men: Air Attack 2,PlayStation 2,Fantasy
Art Academy,DS,Miscellaneous
Art Academy,DS,Edutainment
Art Academy: Home Studio,Wii U,Miscellaneous
Art Academy: Home Studio,Wii U,Edutainment
Art Style: ORBIENT,Wii,Miscellaneous
Art Style: ORBIENT,Wii,Puzzle
Art Style: ORBIENT,Wii,General
Art of Balance,Wii U,Puzzle
Art of Balance,Wii U,General
Arx Fatalis,PC,Role-Playing
Arx Fatalis,PC,First-Person
Arx Fatalis,PC,Western-Style
Asgard's Wrath,PC,Action Adventure
Asgard's Wrath,PC,General
Asheron's Call,PC,Role-Playing
Asheron's Call,PC,Massively Multiplayer Online
Asheron's Call,PC,Massively Multiplayer
Asheron's Call,PC,Fantasy
Asphalt 4: Elite Racing,DS,Driving
Asphalt 4: Elite Racing,DS,Racing
Asphalt 4: Elite Racing,DS,Simulation
Asphalt 4: Elite Racing,DS,GT / Street
Asphalt 4: Elite Racing,DS,Automobile
Assassin's Creed II,Xbox 360,Action Adventure
Assassin's Creed II,Xbox 360,Historic
Assassin's Creed II,Xbox 360,Open-World
Assassin's Creed II,PlayStation 3,Action Adventure
Assassin's Creed II,PlayStation 3,Historic
Assassin's Creed II,PlayStation 3,Open-World
Assassin's Creed IV: Black Flag,PlayStation 3,Action Adventure
Assassin's Creed IV: Black Flag,PlayStation 3,Historic
Assassin's Creed IV: Black Flag,PlayStation 3,Open-World
Assassin's Creed IV: Black Flag,Xbox 360,Action Adventure
Assassin's Creed IV: Black Flag,Xbox 360,Historic
Assassin's Creed IV: Black Flag,Xbox 360,Open-World
Assassin's Creed IV: Black Flag,PC,Action Adventure
Assassin's Creed IV: Black Flag,PC,Historic
Assassin's Creed IV: Black Flag,PC,Open-World
Assassin's Creed IV: Black Flag,PlayStation 4,Action Adventure
Assassin's Creed IV: Black Flag,PlayStation 4,Historic
Assassin's Creed IV: Black Flag,PlayStation 4,Open-World
Assassin's Creed: Brotherhood,Xbox 360,Action Adventure
Assassin's Creed: Brotherhood,Xbox 360,Historic
Assassin's Creed: Brotherhood,Xbox 360,Open-World
Assassin's Creed: Brotherhood,PlayStation 3,Action Adventure
Assassin's Creed: Brotherhood,PlayStation 3,Historic
Assassin's Creed: Brotherhood,PlayStation 3,Open-World
Assassin's Creed: Brotherhood,PC,Action Adventure
Assassin's Creed: Brotherhood,PC,Historic
