title,platform,date,publisher,developer,metascore,user_score,esrb
Virtua Tennis: World Tour,PSP,Oct__7_2005,Sega,Sumo Digital,84,8.4,E
Virtual-On: Oratorio Tangram Ver.5.66,Xbox 360,Apr_29_2009,Sega,Sega AM3,73,8.5,E10+
Viva Pinata,PC,Nov__6_2007,Microsoft Game Studios,"Climax Group, Climax Studios",78,7.9,E
Viva Pinata,Xbox 360,Nov__9_2006,Microsoft Game Studios,Rare Ltd.,84,7.9,E
Viva Pinata: Trouble in Paradise,Xbox 360,Sep__2_2008,Microsoft Game Studios,Rare Ltd.,82,8.0,E
Void Bastards,Xbox One,May_29_2019,Humble Bundle,Blue Manchu,75,8.3,
Void Bastards,PC,May_28_2019,Humble Bundle,Blue Manchu,81,7.9,
Volgarr the Viking,PC,Sep_13_2013,Adult Swim,Crazy Viking Studios,76,7.8,
Voodoo Vince,Xbox,Sep_23_2003,Microsoft Game Studios,Beep Industries,73,7.9,T
WALL-E,PlayStation 2,Jun_24_2008,THQ,Asobo Studio,67,8.4,E
WRC 7,Xbox One,Sep_15_2017,Bigben Interactive,Kylotonn,70,7.9,E
WWE '13,PlayStation 3,Oct_30_2012,THQ,THQ,76,8.1,T
WWE '13,Xbox 360,Oct_30_2012,THQ,"THQ, Yuke's",78,8.0,T
WWE Day of Reckoning,GameCube,Aug_30_2004,THQ,Yuke's,79,8.9,T
WWE SmackDown vs. Raw 2007,PlayStation 2,Nov_14_2006,THQ,Yuke's,80,8.7,T
WWE SmackDown vs. Raw 2007,PSP,Dec__6_2006,THQ,Yuke's,78,8.2,T
WWE SmackDown vs. Raw 2007,Xbox 360,Nov_14_2006,THQ,Yuke's,81,7.9,T
WWE SmackDown vs. Raw 2008,PSP,Nov_13_2007,THQ,Yuke's,68,7.9,T
WWE SmackDown vs. Raw 2009,Wii,Nov__9_2008,THQ,Yuke's,79,8.6,T
WWE SmackDown vs. Raw 2009,DS,Nov__9_2008,THQ,TOSE,58,8.1,T
WWE SmackDown vs. Raw 2010,DS,Oct_20_2009,THQ,Yuke's,75,8.5,T
WWE SmackDown vs. Raw 2010,Xbox 360,Oct_20_2009,THQ,Yuke's,80,8.3,T
WWE SmackDown vs. Raw 2010,PlayStation 3,Oct_20_2009,THQ,Yuke's,81,8.0,T
WWE SmackDown vs. Raw 2010,Wii,Oct_20_2009,THQ,Yuke's,78,7.9,T
WWE SmackDown vs. Raw 2011,PlayStation 3,Oct_26_2010,THQ,Yuke's,74,7.8,T
WWE SmackDown! Here Comes the Pain,PlayStation 2,Oct_27_2003,THQ,Yuke's,85,9.0,T
WWE SmackDown! Shut Your Mouth,PlayStation 2,Oct_31_2002,THQ,Yuke's,82,8.6,T
WWE SmackDown! vs. Raw,PlayStation 2,Nov__2_2004,THQ,Yuke's,80,8.7,T
WWE SmackDown! vs. Raw 2006,PSP,Dec_13_2005,THQ,Yuke's,81,8.3,T
WWE SmackDown! vs. Raw 2006,PlayStation 2,Nov_14_2005,THQ,Yuke's,84,8.3,T
WWE Survivor Series,Game Boy Advance,Oct_12_2004,THQ,Natsume,55,8.2,T
WWE WrestleMania XIX,GameCube,Sep__8_2003,THQ,Yuke's,76,8.7,T
WWF No Mercy,Nintendo 64,Nov_17_2000,THQ,Aki Corp.,89,8.4,T
WWF SmackDown! 2: Know Your Role,PlayStation,Nov_21_2000,THQ,Yuke's,90,8.4,T
Wade Hixton's Counter Punch,Game Boy Advance,Mar_15_2004,Destination Software,Inferno Games,78,8.2,T
Wakeboarding Unleashed Featuring Shaun Murray,PlayStation 2,Jun_10_2003,Activision,Shaba Games,83,8.1,E
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",Xbox 360,May_27_2009,Telltale Games,Telltale Games,73,7.9,E
"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",PC,May__5_2009,Telltale Games,Telltale Games,72,8.6,E
Wandersong,Switch,Sep_27_2018,Dumb and Fat Games,"Greg Lobanov, Dumb and Fat Games",81,8.4,E10+
War of the Monsters,PlayStation 2,Jan_14_2003,SCEA,Incognito Inc.,80,8.8,T
Warcraft III: Reign of Chaos,PC,Jul__3_2002,Blizzard Entertainment,Blizzard Entertainment,92,9.1,T
Warcraft III: The Frozen Throne,PC,Jul__1_2003,Blizzard Entertainment,Blizzard Entertainment,88,9.0,T
Warframe,Switch,Nov_20_2018,Digital Extremes,Digital Extremes,86,8.5,M
Warframe,PC,Mar_25_2013,Digital Extremes,Digital Extremes,69,8.3,M
Wargame: AirLand Battle,PC,May_29_2013,Focus Home Interactive,Eugen Systems,80,8.0,T
Wargame: European Escalation,PC,Feb_22_2012,Focus Home Interactive,Eugen Systems,81,8.1,
Wargame: Red Dragon,PC,Apr_17_2014,Focus Home Interactive,Eugen Systems,78,7.9,
"Warhammer 40,000: Dawn of War",PC,Sep_20_2004,THQ,Relic,86,8.7,M
"Warhammer 40,000: Dawn of War - Dark Crusade",PC,Oct__9_2006,THQ,Relic,87,8.8,M
"Warhammer 40,000: Dawn of War - Soulstorm",PC,Mar__4_2008,THQ,Iron Lore Entertainment,73,7.9,M
"Warhammer 40,000: Dawn of War - Winter Assault",PC,Sep_21_2005,THQ,Relic,85,8.3,M
"Warhammer 40,000: Dawn of War II",PC,Feb_18_2009,THQ,Relic,85,8.1,M
"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,Mar_10_2010,THQ,Relic,85,8.7,M
"Warhammer 40,000: Fire Warrior",PlayStation 2,Nov_17_2003,THQ,Kuju Entertainment,64,8.4,M
"Warhammer 40,000: Mechanicus",PC,Nov_15_2018,Kasedo Games,Bulwark Studios,78,7.9,
"Warhammer 40,000: Regicide",PC,Sep__8_2015,Hammerfall Publishing,Hammerfall Publishing,72,7.6,
"Warhammer 40,000: Space Marine",Xbox 360,Sep__6_2011,THQ,Relic,76,7.9,M
"Warhammer 40,000: Squad Command",DS,Dec_17_2007,THQ,THQ,57,7.9,T
"Warhammer 40,000: Squad Command",PSP,Nov_12_2007,THQ,RedLynx,67,7.8,T
Warhammer Online: Age of Reckoning,PC,Sep_16_2008,EA Games,EA Mythic,86,7.9,T
Warhawk,PlayStation 3,Aug_28_2007,SCEA,Incognito Inc.,84,8.3,T
Wario Land 4,Game Boy Advance,Nov_18_2001,Nintendo,Nintendo,88,8.6,E
Wario Land: Shake It!,Wii,Sep_22_2008,Nintendo,Good-Feel,78,8.5,E
WarioWare D.I.Y.,DS,Mar_28_2010,Nintendo,Intelligent Systems,82,8.2,E
WarioWare D.I.Y. Showcase,Wii,Mar_29_2010,Nintendo,Intelligent Systems,73,8.4,E
WarioWare Gold,3DS,Aug__3_2018,Nintendo,Nintendo,78,8.2,E10+
"WarioWare, Inc.: Mega Microgame$!",Game Boy Advance,May_21_2003,Nintendo,Nintendo,89,8.8,E
"WarioWare, Inc.: Mega Party Game$!",GameCube,Apr__6_2004,Nintendo,Nintendo,76,8.3,E
WarioWare: Touched!,DS,Feb_14_2005,Nintendo,Intelligent Systems,81,8.1,E
WarioWare: Twisted!,Game Boy Advance,May_23_2005,Nintendo,Nintendo,88,9.0,E
Warlock: Master of the Arcane,PC,May__8_2012,Paradox Interactive,Ino-Co,71,7.9,E10+
Warlords Battlecry III,PC,May_19_2004,Enlight Software,Infinite Interactive,73,8.5,T
Warrior Kings: Battles,PC,Sep_30_2003,Strategy First,Black Cactus,64,8.1,T
Warriors Orochi,PlayStation 2,Sep_18_2007,Koei,Omega Force,55,8.4,T
Warriors Orochi 2,PlayStation 2,Sep_23_2008,Koei,Omega Force,52,8.5,T
Warriors Orochi 2,Xbox 360,Sep_23_2008,Koei,Omega Force,44,8.1,T
Warriors Orochi 2,PSP,Aug_28_2009,Koei,Omega Force,56,8.0,T
Warriors Orochi 3,Xbox 360,Mar_27_2012,Tecmo Koei America Corp.,Omega Force,71,8.1,T
Warriors Orochi 3,PlayStation 3,Mar_20_2012,Tecmo Koei America Corp.,Omega Force,70,7.9,T
Warship Gunner 2,PlayStation 2,Mar_21_2006,Koei,Micro Cabin,62,8.5,T
Watchmen: The End Is Nigh,Xbox 360,Mar__4_2009,Warner Bros. Interactive Entertainment,Deadline Games,55,8.0,M
Wave Race 64,Nintendo 64,Nov__1_1996,Nintendo,Nintendo,92,8.2,E
Wave Race: Blue Storm,GameCube,Nov_17_2001,Nintendo,Nintendo,80,8.3,E
Way of the Samurai,PlayStation 2,May_31_2002,Bam Entertainment,Acquire,74,7.9,M
