title,platform,date,publisher,developer,metascore,user_score,esrb
'Splosion Man,Xbox 360,Jul_22_2009,Twisted Pixel Games,Twisted Pixel Games,84,7.8,E10+
.hack//G.U. Last Recode,PlayStation 4,Nov__3_2017,Bandai Namco Games,CyberConnect2,76,7.8,T
.hack//G.U. vol. 1//Rebirth,PlayStation 2,Oct_24_2006,Namco Bandai Games America,CyberConnect2,69,8.1,T
.hack//G.U. vol. 2//Reminisce,PlayStation 2,May__8_2007,Namco Bandai Games America,CyberConnect2,61,8.3,T
.hack//G.U. vol. 3//Redemption,PlayStation 2,Sep_10_2007,Namco Bandai Games America,CyberConnect2,60,8.5,T
.hack//Infection Part 1,PlayStation 2,Feb_10_2003,Bandai,CyberConnect2,75,8.3,T
.hack//Mutation Part 2,PlayStation 2,May__6_2003,Bandai,CyberConnect2,76,8.5,T
.hack//Outbreak Part 3,PlayStation 2,Sep__9_2003,Bandai,CyberConnect2,70,8.3,T
.hack//Quarantine Part 4,PlayStation 2,Jan_14_2004,Bandai,CyberConnect2,70,8.2,T
1080: Avalanche,GameCube,Dec__1_2003,Nintendo,Nintendo,73,7.9,E
11-11: Memories Retold,PlayStation 4,Nov__9_2018,Bandai Namco Games,Digixart Entertainment,77,8.2,
1701 A.D.,PC,Nov__6_2006,Aspyr,Related Designs,79,7.8,E10+
2010 FIFA World Cup South Africa,Xbox 360,Apr_27_2010,EA Sports,Electronic Arts,83,8.2,E
2010 FIFA World Cup South Africa,PlayStation 3,Apr_27_2010,EA Sports,EA Canada,82,7.8,E
20XX,Switch,Jul_10_2018,Fire Hose Games,Batterystaple Games,77,7.8,E10+
24: The Game,PlayStation 2,Feb_28_2006,2K Games,SCE Studio Cambridge,62,8.1,M
2Dark,Xbox One,Mar_10_2017,Gloomywood,Gloomywood,65,7.8,M
3D After Burner II,3DS,Jan_15_2015,Sega,M2,81,7.8,E10+
3D Classics: Kirby's Adventure,3DS,Nov_17_2011,Nintendo,Arika,77,7.9,E
3D Dot Game Heroes,PlayStation 3,May_11_2010,Atlus,Silicon Studio,77,8.2,E10+
3D Gunstar Heroes,3DS,Aug_20_2015,Sega,M2,89,7.9,E10+
3D Out Run,3DS,Mar_12_2015,Sega,M2,87,8.0,E
3D Sonic the Hedgehog 2,3DS,Oct__8_2015,Sega,M2,87,8.3,E
4x4 EVO 2,GameCube,Sep__9_2002,VU Games,Terminal Reality,56,8.2,E
7 Wonders of the Ancient World,DS,Sep_17_2007,MumboJumbo,Hot Lava Games,60,8.3,E
7th Dragon III Code: VFD,3DS,Jul_12_2016,Sega,Sega,76,8.0,T
A Boy and His Blob,Wii,Oct_13_2009,Majesco Games,WayForward,80,8.4,E
A Hat in Time,PC,Oct__5_2017,Gears for Breakfast,Gears for Breakfast,79,8.6,E10+
A Hat in Time,Xbox One,Dec__6_2017,Gears for Breakfast,Gears for Breakfast,74,8.0,T
A Hat in Time,PlayStation 4,Dec__5_2017,Gears for Breakfast,Gears for Breakfast,79,7.9,T
A Plague Tale: Innocence,PC,May_13_2019,Focus Home Interactive,Asobo Studio,81,8.6,M
A Plague Tale: Innocence,PlayStation 4,May_14_2019,Focus Home Interactive,Asobo Studio,81,8.6,M
A Plague Tale: Innocence,Xbox One,May_14_2019,Focus Home Interactive,Asobo Studio,83,8.5,M
A Rose in the Twilight,PlayStation Vita,Apr_11_2017,NIS America,Nippon Ichi Software,75,7.9,T
A Way Out,PlayStation 4,Mar_23_2018,Electronic Arts,Hazelight,78,8.0,M
ABZU,Switch,Nov_29_2018,505 Games,Giant Squid,80,8.4,E
AI War: Fleet Command,PC,May_14_2009,"Arcen Games, LLC","Arcen Games, LLC",80,7.9,
AO International Tennis,Xbox One,May__9_2018,Big Ant Studios,Big Ant Studios,66,7.8,E
AR-K Episode 3: The Great Escape,PC,Jul_14_2015,Gato Salvaje Studio,Gato Salvaje Studio,78,7.8,
ATOM RPG: Post-apocalyptic indie game,PC,Dec_19_2018,AtomTeam,AtomTeam,70,8.7,
ATOMIK: RunGunJumpGun,Switch,Feb__8_2018,Gambitious,Gambitious,78,8.0,E
ATV Offroad Fury,PlayStation 2,Feb__5_2001,SCEA,Rainbow Studios,82,8.3,E
ATV Offroad Fury 2,PlayStation 2,Nov__9_2002,SCEA,Rainbow Studios,82,8.7,E
ATV Offroad Fury 3,PlayStation 2,Nov__2_2004,SCEA,Climax Group,78,8.3,E
ATV Offroad Fury 4,PlayStation 2,Oct_31_2006,SCEA,Climax Group,77,8.5,E
ATV Offroad Fury: Blazin' Trails,PSP,Apr_19_2005,SCEA,"Climax Group, Climax Studios",63,7.8,E
ATV Quad Power Racing 2,GameCube,Jan_22_2003,Acclaim,Climax Group,70,8.7,E
ATV: Quad Power Racing,Game Boy Advance,Aug_20_2002,Acclaim,Tantalus,49,8.5,E
Aaero: Complete Edition,Switch,Dec_24_2018,Mad Fellows Ltd,Mad Fellows Ltd,80,8.0,E10+
Ace Attorney Investigations: Miles Edgeworth,DS,Feb_16_2010,Capcom,Capcom,78,8.4,T
Ace Combat 04: Shattered Skies,PlayStation 2,Nov__1_2001,Namco,Namco,89,8.9,E
Ace Combat 2,PlayStation,Jul_31_1997,Namco,Namco,83,8.6,T
Ace Combat 5: The Unsung War,PlayStation 2,Oct_25_2004,Namco,Namco,84,8.9,T
Ace Combat 6: Fires of Liberation,Xbox 360,Oct_23_2007,Namco Bandai Games America,Project Aces,80,7.9,T
Ace Combat 7: Skies Unknown,PlayStation 4,Jan_18_2019,Bandai Namco Games,Project Aces,80,8.3,T
Ace Combat 7: Skies Unknown,Xbox One,Jan_18_2019,Bandai Namco Games,Bandai Namco Games,79,7.9,T
Ace Combat X: Skies of Deception,PSP,Oct_23_2006,Namco Bandai Games America,Project Aces,75,8.4,T
Ace Combat Zero: The Belkan War,PlayStation 2,Apr_25_2006,Namco,Namco,75,8.5,T
Ace Combat: Assault Horizon Legacy,3DS,Nov_15_2011,Namco Bandai Games,Project Aces,71,7.8,T
Act of War: Direct Action,PC,Mar_15_2005,Atari,Eugen Systems,82,7.8,T
Activision Anthology,PlayStation 2,Nov_19_2002,Activision,Contraband Entertainment,75,8.1,E
Advance Wars,Game Boy Advance,Sep__9_2001,Nintendo,Intelligent Systems,92,8.9,E
Advance Wars 2: Black Hole Rising,Game Boy Advance,Jun_24_2003,Nintendo,Intelligent Systems,89,8.9,E
Advance Wars: Days of Ruin,DS,Jan_21_2008,Nintendo,Intelligent Systems,86,8.6,E10+
Advance Wars: Dual Strike,DS,Aug_22_2005,Nintendo,Intelligent Systems,90,8.9,E
Advent Rising,PC,Aug__9_2005,Majesco Games,GlyphX Games,70,8.6,T
Adventures of Mana,PlayStation Vita,Jun_28_2016,Square Enix,Square Enix,66,8.3,E10+
Aero the Acro-bat,Game Boy Advance,May_14_2002,Metro3D,Atomic Planet Entertainment,71,8.5,E
Affordable Space Adventures,Wii U,Apr__9_2015,KnapNok Games,KnapNok Games,81,8.2,E
Agatha Christie: The ABC Murders,PC,Feb_23_2016,Kalypso,Kalypso,TBD,6.4,
Age of Empires,PC,Sep_30_1997,Microsoft Game Studios,Ensemble Studios,83,8.7,T
Age of Empires II: HD Edition,PC,Apr__9_2013,Microsoft Game Studios,"Ensemble Studios, Hidden Path Entertainment",68,7.9,T
Age of Empires II: The Age of Kings,PC,Sep_30_1999,Microsoft Game Studios,Ensemble Studios,92,9.0,T
Age of Empires II: The Conquerors Expansion,PC,Aug_24_2000,Microsoft Game Studios,Ensemble Studios,88,9.0,T
Age of Empires III,PC,Oct_18_2005,Microsoft Game Studios,Ensemble Studios,81,7.8,T
Age of Empires III: The Asian Dynasties,PC,Oct_23_2007,Microsoft Game Studios,Big Huge Games,81,8.5,T
Age of Empires III: The WarChiefs,PC,Oct_17_2006,Microsoft Game Studios,Ensemble Studios,80,7.8,T
Age of Empires: The Age of Kings,DS,Feb_14_2006,Majesco Games,Backbone Entertainment,80,8.0,E10+
Age of Mythology,PC,Nov__1_2002,Microsoft Game Studios,Ensemble Studios,89,8.9,T
Age of Mythology: The Titans,PC,Sep_30_2003,Microsoft Game Studios,Ensemble Studios,84,8.7,T
Age of Wonders II: The Wizard's Throne,PC,Jun_12_2002,Gathering,Triumph Studios,86,8.4,T
Age of Wonders III,PC,Mar_31_2014,Triumph Studios,Triumph Studios,80,8.0,T
Age of Wonders III - Eternal Lords,PC,Apr_14_2015,Triumph Studios,Triumph Studios,80,8.4,
Age of Wonders III - Golden Realms,PC,Sep_18_2014,Triumph Studios,Triumph Studios,82,8.5,
Age of Wonders: Shadow Magic,PC,Jul_25_2003,Gathering,Triumph Studios,82,8.5,T
Aggressive Inline,PlayStation 2,May_28_2002,Acclaim,"Z-Axis, Ltd.",85,8.6,T
Aggressors: Ancient Rome,PC,Aug_30_2018,Slitherine,Kubat Software,76,8.0,
AiRace Xeno,3DS,Jun_12_2014,QubicGames,QubicGames,66,8.0,E
Akai Katana,Xbox 360,May_15_2012,Rising Star Games,Cave,75,8.0,T
Alan Wake,Xbox 360,May_18_2010,Microsoft Game Studios,Remedy Entertainment,83,8.2,T
Alan Wake,PC,Feb_16_2012,Remedy Entertainment,Remedy Entertainment,83,8.0,T
Alexander,PC,Nov_23_2004,Ubisoft,GSC Game World,56,8.2,M
Alice: Madness Returns,PC,Jun_14_2011,Electronic Arts,Spicy Horse,75,8.4,M
Alice: Madness Returns,Xbox 360,Jun_14_2011,Electronic Arts,Spicy Horse,70,8.1,M
Alice: Madness Returns,PlayStation 3,Jun_14_2011,Electronic Arts,Spicy Horse,70,8.0,M
Alien Breed: Evolution,Xbox 360,Dec_16_2009,Team 17,Team 17,69,8.0,T
Alien Front Online,Dreamcast,Aug__9_2001,Sega,Sega,76,8.2,T
Alien Hominid,PlayStation 2,Nov_21_2004,O3 Entertainment,The Behemoth,78,8.4,T
Alien Hominid,GameCube,Nov_23_2004,O3 Entertainment,The Behemoth,78,8.3,T
Alien Shooter: Vengeance,PC,Feb_16_2007,cdv Software,Sigma Team,67,7.9,M
Alien Swarm,PC,Jul_19_2010,Valve Software,Valve Software,77,8.2,
Alien: Isolation,PC,Oct__6_2014,Sega,Creative Assembly,81,8.5,M
Alien: Isolation,PlayStation 4,Oct__7_2014,Sega,Creative Assembly,79,8.2,M
Alien: Isolation,Xbox One,Oct__7_2014,Sega,Creative Assembly,78,7.9,M
Alienation,PlayStation 4,Apr_26_2016,SCEA,Housemarque,79,7.8,M
Aliens Versus Predator 2,PC,Oct_31_2001,Fox Interactive,Monolith Productions,85,8.7,M
Aliens Versus Predator: Extinction,PlayStation 2,Jul_30_2003,EA Games,Zono Inc.,66,8.4,T
Aliens: Infestation,DS,Oct_11_2011,Sega,"Gearbox Software, WayForward",76,8.2,T
All-Star Baseball 2003,PlayStation 2,Feb_26_2002,Acclaim,Acclaim Studios Austin,81,8.4,E
All-Star Baseball 2003,Xbox,Feb_25_2002,Acclaim,Acclaim,79,8.1,E
All-Star Baseball 2003,GameCube,Feb_25_2002,Acclaim,Acclaim,83,8.0,E
All-Star Baseball 2004,Xbox,Feb_23_2003,Acclaim,Acclaim,74,8.4,E
All-Star Baseball 2004,GameCube,Feb_23_2003,Acclaim,Acclaim,80,8.2,E
All-Star Baseball 2005,Xbox,Mar_23_2004,Acclaim,Acclaim,75,8.8,E
All-Star Baseball 2005,PlayStation 2,Apr__8_2004,Acclaim,Acclaim,72,8.6,E
Alone in the Dark: The New Nightmare,PlayStation,Jun_18_2001,Infogrames,Darkworks,77,8.3,M
Alone in the Dark: The New Nightmare,Dreamcast,Sep_24_2001,Infogrames,Darkworks,75,8.0,M
Alundra,PlayStation,Dec_31_1997,Working Designs,Matrix Software,86,8.9,T
American McGee's Alice,PC,Dec__6_2000,Electronic Arts,Rogue Entertainment,85,7.9,M
Amnesia: The Dark Descent,PC,Sep__8_2010,THQ,Frictional Games,85,8.6,M
Amped: Freestyle Snowboarding,Xbox,Nov_19_2001,Microsoft Game Studios,Indie Built,78,8.3,E
Amplitude,PlayStation 2,Mar_24_2003,SCEA,Harmonix Music Systems,86,8.5,T
Anachronox,PC,Jun_27_2001,Eidos Interactive,Ion Storm,77,7.9,T
Anarchy Online: Shadowlands,PC,Sep__8_2003,Funcom,Funcom,85,8.5,T
Anarchy Reigns,PlayStation 3,Jan__8_2013,Sega,PlatinumGames,71,8.1,M
Anarchy Reigns,Xbox 360,Jan__8_2013,Sega,PlatinumGames,73,8.0,M
Anarcute,PC,Jul_12_2016,Plug In Digital,Anarteam,79,7.8,
And 1 Streetball,PlayStation 2,Jun__6_2006,Ubisoft,Black Ops Entertainment,51,8.9,E10+
And 1 Streetball,Xbox,Jun__6_2006,Ubisoft,Black Ops Entertainment,46,7.9,E10+
Anima: Gate of Memories,Xbox One,Jun__3_2016,Badland Games,Anima Project,72,8.4,T
Animal Crossing,GameCube,Sep_15_2002,Nintendo,Nintendo,87,8.8,E
Animal Crossing: New Leaf,3DS,Jun__9_2013,Nintendo,Nintendo,88,8.7,E
Animal Crossing: Wild World,DS,Dec__5_2005,Nintendo,Nintendo,86,8.6,E
Anno 1800,PC,Apr_16_2019,Ubisoft,Blue Byte,81,8.0,
Antichamber,PC,Jan_31_2013,Demruth,Demruth,82,8.3,
Ape Escape,PlayStation,May_31_1999,SCEA,SCEI,90,8.6,E
Ape Escape 2,PlayStation 2,Jun_30_2003,Ubisoft,SCE Japan Studio,82,8.3,E
Ape Escape 3,PlayStation 2,Jan_17_2006,SCEA,SCE Japan Studio,77,8.7,E10+
Apex,Xbox,Feb_17_2003,Atari,Milestone S.r.l,74,7.9,E
Apollo Justice: Ace Attorney,DS,Feb_19_2008,Capcom,Capcom,78,8.2,T
Apollo Justice: Ace Attorney,3DS,Nov_21_2017,Capcom,Capcom,77,7.9,T
Aqua,Xbox 360,May_19_2010,Microsoft Game Studios,Games Distillery,61,8.2,E10+
AquaPazza: AquaPlus Dream Match,PlayStation 3,Nov_19_2013,Atlus,Examu,75,7.8,T
Aquaria,PC,Dec__7_2007,Bit Blot,Bit Blot,82,8.1,E
Ar nosurge Plus: Ode to an Unborn Star,PlayStation Vita,Jul__2_2015,NIS America,Gust,77,8.1,T
Ar nosurge: Ode to an Unborn Star,PlayStation 3,Sep_23_2014,Koei Tecmo Games,Gust,67,7.8,T
Ar tonelico II: Melody of Metafalica,PlayStation 2,Jan_20_2009,NIS America,Gust,71,9.0,T
Ar tonelico: Melody of Elemia,PlayStation 2,Feb__6_2007,NIS America,Gust,71,8.9,T
Arc Rise Fantasia,Wii,Jul_27_2010,Ignition Entertainment,"Image Epoch, Imageepoch",64,8.0,T
Arc the Lad Collection,PlayStation,Apr_18_2002,Working Designs,ARC Entertainment,78,9.1,T
Arc the Lad: Twilight of the Spirits,PlayStation 2,Jun_25_2003,SCEA,Cattle Call,72,8.4,T
Arcana Heart,PlayStation 2,Apr_10_2008,Atlus Co.,Examu,77,8.1,T
Arcanum: Of Steamworks and Magick Obscura,PC,Aug_22_2001,Sierra Entertainment,Troika Games,81,8.7,M
Archangel: Hellfire,PC,Jul_17_2018,Skydance Interactive,Skydance Interactive,79,8.4,
Area 51,PlayStation 2,Apr_25_2005,Midway,Midway Studios - Austin,75,8.4,M
Arena Football,Xbox,Feb__7_2006,EA Sports,EA Tiburon,65,8.5,E10+
Arena Football,PlayStation 2,Feb__7_2006,EA Sports,EA Tiburon,66,8.1,E10+
Arktika.1,PC,Oct_10_2017,4A Games,4A Games,71,8.3,
ArmA II: Operation Arrowhead,PC,Jun_29_2010,Meridian4,Bohemia Interactive,73,8.1,M
Armillo,Wii U,Jul__3_2014,Fuzzy Wuzzy Games,Fuzzy Wuzzy Games,72,8.0,E
Armored Core 2,PlayStation 2,Oct_24_2000,Agetec Inc.,From Software,78,8.8,T
Armored Core 2: Another Age,PlayStation 2,Aug_20_2001,Agetec Inc.,From Software,75,8.5,T
Armored Core 3,PlayStation 2,Sep__5_2002,Agetec Inc.,From Software,74,8.9,T
Armored Core: For Answer,Xbox 360,Sep_16_2008,Ubisoft,From Software,64,7.9,T
Armored Core: For Answer,PlayStation 3,Sep_16_2008,Ubisoft,From Software,62,7.9,T
Armored Core: Last Raven,PlayStation 2,Jun_13_2006,Agetec Inc.,From Software,59,9.0,T
Armored Core: Nexus,PlayStation 2,Sep_28_2004,Agetec Inc.,From Software,73,8.8,T
Armored Core: Nine Breaker,PlayStation 2,Sep_13_2005,Agetec Inc.,From Software,57,8.6,T
Armored Core: Verdict Day,Xbox 360,Sep_24_2013,Namco Bandai Games America,From Software,65,7.8,T
Army Men Advance,Game Boy Advance,Jun_10_2001,3DO,DC Studios,57,8.0,E
Army Men: Air Attack 2,PlayStation 2,Mar_23_2001,3DO,3DO,75,8.0,T
Art Academy,DS,Oct_26_2010,Nintendo,Headstrong Games,75,8.0,E
Art Academy: Home Studio,Wii U,Jun_25_2015,Nintendo,Headstrong Games,82,7.9,E
Art Style: ORBIENT,Wii,Sep_29_2008,Nintendo,Nintendo,82,8.2,E
Art of Balance,Wii U,Oct__9_2014,Shin'en,Shin'en,82,8.5,E
Arx Fatalis,PC,Nov_11_2002,JoWooD Entertainment AG,Arkane Studios,77,8.3,M
Asgard's Wrath,PC,Oct_10_2019,Oculus Studios,Sanzaru,89,8.6,
Asheron's Call,PC,Oct_31_1999,Microsoft Game Studios,Turbine Inc.,81,8.5,T
Asphalt 4: Elite Racing,DS,Jul__6_2009,Gameloft,Gameloft,78,8.0,E10+
Assassin's Creed II,Xbox 360,Nov_17_2009,Ubisoft,Ubisoft Montreal,90,8.8,M
Assassin's Creed II,PlayStation 3,Nov_17_2009,Ubisoft,Ubisoft Montreal,91,8.6,M
Assassin's Creed IV: Black Flag,PlayStation 3,Oct_29_2013,Ubisoft,Ubisoft,88,8.2,M
Assassin's Creed IV: Black Flag,Xbox 360,Oct_29_2013,Ubisoft,Ubisoft,86,8.0,M
Assassin's Creed IV: Black Flag,PC,Nov_19_2013,Ubisoft,Ubisoft,84,7.8,M
Assassin's Creed IV: Black Flag,PlayStation 4,Nov_12_2013,Ubisoft,Ubisoft,83,7.8,M
Assassin's Creed: Brotherhood,Xbox 360,Nov_16_2010,Ubisoft,Ubisoft Montreal,89,8.4,M
Assassin's Creed: Brotherhood,PlayStation 3,Nov_16_2010,Ubisoft,Ubisoft Montreal,90,8.3,M
Assassin's Creed: Brotherhood,PC,Mar_22_2011,Ubisoft,Ubisoft Montreal,88,8.2,M
Assassin's Creed: Brotherhood - The Da Vinci Disappearance,Xbox 360,Mar__8_2011,Ubisoft,Ubisoft Montreal,75,8.3,M
Assault Android Cactus+,Switch,Mar__8_2019,Witch Beam,Witch Beam,86,8.7,
Assetto Corsa,PC,Dec_19_2014,Kunos Simulazioni,Kunos Simulazioni,85,8.4,E
Asterix & Obelix: Kick Buttix,PlayStation 2,Sep_14_2004,Atari,Etranges Libellules,59,7.9,E
Astral Chain,Switch,Aug_30_2019,Nintendo,PlatinumGames,87,8.9,T
Astro Bot: Rescue Mission,PlayStation 4,Oct__2_2018,JapanStudio,JapanStudio,90,8.9,E10+
Astro Boy: Omega Factor,Game Boy Advance,Aug_18_2004,Sega,Hitmaker,85,8.7,E
Atelier Ayesha Plus: The Alchemist of Dusk,PlayStation Vita,Jan_13_2015,Koei Tecmo Games,Gust,76,8.4,T
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,PlayStation Vita,Jan_19_2016,Koei Tecmo Games,Gust,75,8.2,E10+
Atelier Escha & Logy: Alchemists of the Dusk Sky,PlayStation 3,Mar_11_2014,Tecmo Koei America Corp.,Gust,79,8.3,E10+
Atelier Iris 2: The Azoth of Destiny,PlayStation 2,Apr_25_2006,NIS America,Gust,68,8.0,E10+
Atelier Iris: Eternal Mana,PlayStation 2,Jun_28_2005,NIS America,Gust,74,7.8,T
Atelier Lulua: The Scion of Arland,Switch,May_21_2019,Koei Tecmo Games,Koei Tecmo Games,78,7.9,T
Atelier Meruru Plus: The Apprentice of Arland,PlayStation Vita,Oct__1_2013,Tecmo Koei America Corp.,Gust,74,8.1,T
Atelier Meruru: The Apprentice of Arland,PlayStation 3,May_29_2012,NIS America,Gust,66,8.1,T
Atelier Rorona Plus: The Alchemist of Arland,PlayStation Vita,Jul_22_2014,Tecmo Koei America Corp.,Gust,79,7.9,T
Atelier Rorona Plus: The Alchemist of Arland,PlayStation 3,Jun_24_2014,Tecmo Koei America Corp.,Gust,80,7.9,T
Atelier Totori: The Adventurer of Arland,PlayStation 3,Sep_27_2011,NIS America,Gust,74,8.3,T
Atomic Betty,Game Boy Advance,Oct_25_2005,Namco,"Big Blue Bubble Inc., Breakthrough New Media",62,7.9,E
AudioSurf,PC,Feb_15_2008,Invisible Handlebar,BestGameEver.com,85,8.7,
Auditorium HD,PlayStation 3,Nov_23_2010,Zoo Games,Cipher Prime,79,8.6,E
Aurion: Legacy of the Kori-Odan,PC,Apr_14_2016,Kiro'o Games,Kiro'o Games,69,7.8,
Auto Assault,PC,Apr_13_2006,NCSOFT,NetDevil,72,7.9,T
Axiom Verge,Wii U,Sep__1_2016,Tom Happ,Tom Happ,89,8.5,E10+
Axiom Verge,Switch,Oct__5_2017,Tom Happ,Tom Happ,87,8.4,E10+
Axiom Verge,PC,May_14_2015,Tom Happ,Tom Happ,80,7.8,T
Axiom Verge,PlayStation 4,Mar_31_2015,Tom Happ,Tom Happ,84,7.8,E10+
Axis & Allies,PC,Nov__2_2004,Atari,TimeGate Studios,65,8.6,T
Azure Striker Gunvolt,3DS,Aug_29_2014,Inti Creates,Inti Creates,77,8.1,E10+
Azure Striker Gunvolt 2,3DS,Sep_29_2016,Inti Creates,Inti Creates,76,8.1,T
Azure Striker Gunvolt: Striker Pack,Switch,Aug_31_2017,Inti Creates,Inti Creates,82,7.8,T
B-Boy,PlayStation 2,Aug__4_2008,Evolved Games,FreeStyleGames,53,8.4,T
B-Boy,PSP,Sep_23_2008,Evolved Games,FreeStyleGames,50,7.8,T
BANG! Gunship Elite,Dreamcast,Dec_18_2000,Red Storm Entertainment,Rayland Interactive,61,8.0,E
BOXBOY!,3DS,Apr__2_2015,Nintendo,HAL Labs,80,8.0,E
BYE-BYE BOXBOY!,3DS,Apr_12_2017,Nintendo,HAL Labs,83,7.8,E
Baba Is You,Switch,Mar_13_2019,Hempuli Oy,"Hempuli Oy, MP2 Games",84,8.2,E
Baba Is You,PC,Mar_13_2019,Hempuli Oy,Hempuli Oy,87,8.0,
Bakugan Battle Brawlers,PlayStation 3,Oct_20_2009,Activision,Now Production,63,8.0,E
Baldur's Gate,PC,Nov_30_1998,Interplay,BioWare,91,8.9,T
Baldur's Gate II: Shadows of Amn,PC,Sep_24_2000,Interplay,BioWare,95,9.2,T
Baldur's Gate II: Throne of Bhaal,PC,Jun_21_2001,Interplay,BioWare,88,8.8,T
Baldur's Gate and Baldur's Gate II: Enhanced Editions,Switch,Oct_15_2019,Skybound Games,Beamdog,74,7.9,T
Baldur's Gate: Dark Alliance,Xbox,Oct_22_2002,Interplay,Snowblind Studios,83,8.5,T
Baldur's Gate: Dark Alliance,PlayStation 2,Dec__2_2001,VU Games,Snowblind Studios,87,8.4,T
Baldur's Gate: Dark Alliance II,PlayStation 2,Jan_20_2004,Interplay,Black Isle Studios,78,8.3,T
Bangai-O,Dreamcast,Mar_21_2001,Conspiracy Entertainment,Treasure,87,8.1,E
Bangai-O Spirits,DS,Aug_12_2008,D3Publisher,Treasure,83,7.8,E10+
Banished,PC,Feb_18_2014,Shining Rock Software,Shining Rock Software,73,8.1,
Banjo-Kazooie,Nintendo 64,May_31_1998,Nintendo,Rare Ltd.,92,9.1,E
Banjo-Kazooie,Xbox 360,Dec__3_2008,Microsoft Game Studios,4J Studios,77,8.3,E
Banjo-Kazooie: Grunty's Revenge,Game Boy Advance,Sep_10_2003,THQ,Rare Ltd.,72,8.1,E
Banjo-Tooie,Nintendo 64,Nov_19_2000,Nintendo,Rare Ltd.,90,8.9,E
Banjo-Tooie,Xbox 360,Apr_29_2009,Microsoft Game Studios,4J Studios,73,8.3,E
Barnyard,PlayStation 2,Aug__1_2006,THQ,Blue Tongue Entertainment,62,8.0,E10+
Baroque,Wii,Apr__8_2008,Atlus,Sting,50,8.3,T
Bastion,PC,Aug_16_2011,Warner Bros. Interactive Entertainment,Supergiant Games,86,8.5,E10+
Bastion,Xbox 360,Jul_20_2011,Warner Bros. Interactive Entertainment,Supergiant Games,86,8.5,E10+
Bastion,Switch,Sep_13_2018,Supergiant Games,Supergiant Games,90,8.2,E10+
Baten Kaitos Origins,GameCube,Sep_25_2006,Nintendo,"Monolith Soft, Namco Bandai Games",75,8.3,T
Baten Kaitos: Eternal Wings and the Lost Ocean,GameCube,Nov_16_2004,Namco,Monolith Soft,80,8.4,T
Batman: Arkham Asylum,PlayStation 3,Aug_25_2009,Eidos Interactive,Rocksteady Studios,91,8.8,T
Batman: Arkham Asylum,PC,Sep_15_2009,Eidos Interactive,Rocksteady Studios,91,8.7,T
Batman: Arkham Asylum,Xbox 360,Aug_25_2009,Eidos Interactive,Rocksteady Studios,92,8.7,T
Batman: Arkham City,PC,Nov_21_2011,Warner Bros. Interactive Entertainment,Rocksteady Studios,91,8.7,T
Batman: Arkham City,PlayStation 3,Oct_18_2011,Warner Bros. Interactive Entertainment,Rocksteady Studios,96,8.7,T
Batman: Arkham City,Xbox 360,Oct_18_2011,Warner Bros. Interactive Entertainment,Rocksteady Studios,94,8.7,T
Batman: Arkham City - Armored Edition,Wii U,Nov_18_2012,Warner Bros. Interactive Entertainment,"Rocksteady Studios, WB Games Montreal",85,8.5,T
Batman: Arkham Knight,PlayStation 4,Jun_23_2015,Warner Bros. Interactive Entertainment,Rocksteady Studios,87,7.8,M
"Batman: Arkham Origins - Cold, Cold Heart",Xbox 360,Apr_22_2014,Warner Bros. Interactive Entertainment,WB Games Montreal,71,7.9,T
Batman: Return to Arkham,PlayStation 4,Oct_18_2016,Warner Bros. Interactive Entertainment,"Rocksteady Studios, Virtuos",73,8.0,T
Batman: Rise of Sin Tzu,PlayStation 2,Oct_16_2003,Ubisoft,Ubisoft Montreal,63,8.3,T
Batman: The Brave and the Bold - The Videogame,DS,Sep__7_2010,Warner Bros. Interactive Entertainment,WayForward,74,8.9,E10+
Batman: Vengeance,Game Boy Advance,Oct_30_2001,Ubisoft,Ubisoft Montreal,68,8.8,E
Battalion Wars,GameCube,Sep_19_2005,Nintendo,Kuju Entertainment,76,8.5,T
Battle Assault 3 featuring Gundam Seed,PlayStation 2,Dec__7_2004,Bandai,Natsume,48,8.9,T
Battle Chasers: Nightwar,Switch,May_15_2018,Nordic Games Publishing,Airship Syndicate Entertainment,80,8.1,T
Battle Chef Brigade,Switch,Nov_20_2017,Adult Swim,Trinket Studios,81,8.3,E10+
Battle Princess of Arcadias,PlayStation 3,Jun_17_2014,NIS America,ApolloSoft,69,7.9,T
Battle Realms,PC,Nov__7_2001,Crave,Liquid Entertainment,82,8.5,T
BattleBlock Theater,PC,May_15_2014,The Behemoth,The Behemoth,85,7.9,T
BattleBlock Theater,Xbox 360,Apr__3_2013,Microsoft Game Studios,The Behemoth,85,7.8,T
Battlefield 1,PlayStation 4,Oct_18_2016,Electronic Arts,EA DICE,89,7.9,M
Battlefield 1942,PC,Sep_10_2002,EA Games,Digital Illusions,89,8.6,T
Battlefield 1943,Xbox 360,Jul__8_2009,Electronic Arts,DICE Stockholm,83,7.9,T
Battlefield 1943,PlayStation 3,Jul__9_2009,Electronic Arts,DICE Stockholm,84,7.8,T
Battlefield 2,PC,Jun_21_2005,EA Games,Digital Illusions,91,8.4,T
Battlefield 2142: Northern Strike,PC,Mar__8_2007,EA Games,EA DICE,77,8.6,T
Battlefield 2: Modern Combat,PlayStation 2,Oct_24_2005,EA Games,Digital Illusions,80,8.3,T
